id,Model,ProductCode,PlannedQty,OTSTargeDate
2405,FX490,NB01,1,2020/11/3
2406,FX490,NB01,1,2020/11/3
2407,FYG40,NB01,1,2020/11/3
2408,GY510,NB12,10,2020/10/15
2409,GY510,NB12,20,2020/10/15
2410,GY510,NB12,10,2020/10/15
2411,GV450,NB12,100,2020/11/2
2412,GL5A0,NB01,20,2020/10/12
2413,GY510,NB12,5,2020/10/12
2414,GX4A0,NB01,8,2020/10/12
2415,GL4A0,NB01,20,2020/10/12
2416,GL4A0,NB01,20,2020/10/12
2417,GL4A0,NB01,25,2020/10/12
2418,GX4A0,NB01,5,2020/10/12
2419,GY55F,NB12,1,2020/11/2
2420,GT4A0,NB01,95,2020/11/5
2421,GT4A0,NB01,162,2020/11/5
2422,GT4A0,NB01,6,2020/11/3
2423,GT4A0,NB01,2,2020/11/3
2424,GYG50,NB01,1,2020/11/3
2425,FYG50,NB12,1,2020/11/3
2426,GX3A1,NB01,1,2020/11/4
2427,GP740,NB01,1,2020/11/6
2428,GYG50,NB01,1,2020/11/4
2429,GP54G,NB01,1,2020/11/6
2430,FYG80,NB12,20,2020/11/2
2431,FYG80,NB12,25,2020/11/2
2432,FYG80,NB12,30,2020/11/2
2433,GY55H,NB12,200,2020/10/26
2434,GS451,NB12,20,2020/11/2
2435,GY559,NB12,30,2020/11/2
2436,GYG40,NB01,190,2020/10/12
2437,HS355,NB12,5,2020/11/2
2438,HC150,NB12,21,2020/11/2
2439,HC150,NB12,1,2020/11/2
2440,HC150,NB12,3,2020/11/2
2441,FYG50,NB12,1,2020/11/1
2442,GT4A0,NB01,2,2020/11/1
2443,FX490,NB01,20,2020/11/1
2444,GT5A1,NB01,1,2020/11/1
2445,FYG40,NB01,1,2020/11/1
2446,FYG40,NB01,1,2020/11/1
2447,GX4A0,NB01,1,2020/11/1
2448,FE4A0,NB01,1,2020/11/1
2449,GX4A0,NB01,2,2020/11/1
2450,GS452,NB12,300,2020/11/2
2451,GS452,NB12,300,2020/11/2
2452,FYG80,NB12,194,2020/11/2
2453,FYG80,NB12,168,2020/11/2
2454,FYG80,NB12,207,2020/11/2
2455,FYG50,NB12,300,2020/11/2
2456,FYG50,NB12,66,2020/11/2
2457,FYG41,NB12,300,2020/11/2
2458,FYG41,NB12,300,2020/11/2
